Index	GEO_Accession	Dataset_Key	Organism	Data_Source	Description	N_Cells	Split
32	GSE192857	GSE192857_hESCHmTimes	Homo sapiens	Local h5ad	Single-cell RNA sequencing time-series of human embryonic stem cell (hESC) differentiation	2696	Train
33	GSE212502	GSE212502_scRNA25100	Homo sapiens	10x h5 (scRNA-25100)	Single-cell RNA sequencing of day-56 human forebrain organoids derived from control and Werner/Williams syndrome iPSCs	3000	Train
34	GSE213740	GSE213740_ADHm	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human ascending aortic wall tissue from patients with sporadic type A aortic dissection	2704	Val
35	GSE220913	GSE220913_scRNA25100	Homo sapiens	10x h5 (scRNA-25100)	Single-cell RNA sequencing of human HL-60 cell lines (wild-type and F508del-CFTR cystic fibrosis mutant) and their DMSO-differentiated neutrophils	2972	Train
36	GSE222002	GSE222002_TcellsHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of T cells isolated from human cancer samples	2962	Train
37	GSE222369	GSE222369_NKsLymphomaHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of natural killer (NK) cells from human lymphoma patients	2778	Train
38	GSE225600	GSE225600_breast_CancerHm	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human breast cancer tumor tissue	2333	Train
39	GSE225857	GSE225857_liverColonMetasisHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human colorectal cancer liver metastases	2986	Train
40	GSE226131	GSE226131_HSCMmAged	Mus musculus	Local h5ad	Single-cell RNA sequencing of aged mouse hematopoietic stem cells (HSCs)	2608	Train
41	GSE226762	GSE226762_geodh	Homo sapiens	GEO-DataHub	Single-cell RNA sequencing dataset from GEO series GSE226762 (Homo sapiens)	830	Val
42	GSE227644	GSE227644_geodh	Homo sapiens	GEO-DataHub	Single-cell RNA sequencing dataset from GEO series GSE227644 (Homo sapiens)	3000	Train
43	GSE227719	GSE227719_scRNA25100	Mus musculus	10x h5 (scRNA-25100)	Single-cell RNA sequencing of mouse lung tumor organoids derived from KrasG12D/P53-flox alveolar type 2 (AT2) cells	2990	Train
44	GSE228499	GSE228499_breastHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human breast cancer	2448	Train
45	GSE235787	GSE235787_bcellsALLHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of B cells from human patients with acute lymphoblastic leukemia (B-ALL)	2798	Train
46	GSE236565	GSE236565_scRNA25100	Mus musculus	10x h5 (scRNA-25100)	Single-cell RNA sequencing of mouse splenic CD4+ T cells stimulated with anti-CD3/CD28 with and without retinoic acid treatment	2556	Train
47	GSE248214	GSE248214_geodh	Homo sapiens	GEO-DataHub	Single-cell RNA sequencing dataset from GEO series GSE248214 (Homo sapiens)	2998	Train
48	GSE253355	GSE253355_bmNicheHm	Homo sapiens	Local h5ad	Single-cell RNA sequencing of the human bone marrow niche	2835	Train
49	GSE262288	GSE262288_breastMetasisHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of metastatic breast cancer in human patients	2321	Train
50	GSE272187	GSE272187_geodh	Homo sapiens	GEO-DataHub	Single-cell RNA sequencing dataset from GEO series GSE272187 (Homo sapiens)	2639	Train
51	GSE275119	GSE275119_TeethMmDev	Mus musculus	Local h5ad	Single-cell RNA sequencing of mouse dental tissue during tooth development	2963	Train
52	GSE277740	GSE277740_scRNA25100	Mus musculus	10x h5 (scRNA-25100)	Single-cell RNA sequencing of mouse thalamus brain tissue comparing Illumina SBS and DNBSEQ sequencing platforms	2644	Val
53	GSE279781	GSE279781_geodh	Homo sapiens	GEO-DataHub	Single-cell RNA sequencing dataset from GEO series GSE279781 (Homo sapiens)	2654	Train
54	GSE280847	GSE280847_scRNA25100	Mus musculus	10x h5 (scRNA-25100)	Single-cell RNA sequencing of CD45+ tumor-infiltrating leukocytes from mouse MC38 colon tumors	2864	Train
55	GSE283205	GSE283205_hepatoblastomaCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of hepatoblastoma tumor tissue	2994	Train
56	GSE283397	GSE283397_scRNA25100	Homo sapiens	10x h5 (scRNA-25100)	Single-cell RNA sequencing of human peripheral blood CD8+ T cells from patients with chronic lymphocytic leukemia (CLL) treated with ibrutinib and pembrolizumab	2856	Train
57	GSE288211	GSE288211_scRNA25100	Mus musculus	10x h5 (scRNA-25100)	Single-cell RNA sequencing of mouse pancreatic islets from beta-cell specific Zzef1 knockout models after high-fat diet feeding	2724	Train
58	GSE289611	GSE289611_scRNA25100	Homo sapiens	10x h5 (scRNA-25100)	Single-cell RNA sequencing of human pulmonary pleomorphic carcinoma (PPC), a rare aggressive subtype of non-small cell lung cancer	2983	Train
59	GSE291166	GSE291166_scRNA25100	Mus musculus	10x h5 (scRNA-25100)	Single-cell RNA sequencing of mouse mesenteric lymph node cells investigating maternal antibody interference with rotavirus vaccination	2901	Train
60	GSE299623	GSE299623_geodh	Homo sapiens	GEO-DataHub	Single-cell RNA sequencing dataset from GEO series GSE299623 (Homo sapiens)	2991	Train
61	GSE300862	GSE300862_scRNA25100	Mus musculus	10x h5 (scRNA-25100)	Single-cell RNA sequencing of mouse Kras/Trp53-driven lung adenocarcinoma tumors	2716	Val
62	GSE302433	GSE302433_scRNA25100	Mus musculus	10x h5 (scRNA-25100)	Single-cell RNA sequencing of mouse B16F10 melanoma tumors investigating the role of ZDHHC13 palmitoyl transferase	2953	Val
63	GSE303309	GSE303309_scRNA25100	Mus musculus	10x h5 (scRNA-25100)	Single-cell RNA sequencing of brain-infiltrating CD45+ immune cells from App-NL-G-F Alzheimer's disease mouse model	2999	Train
64	GSE306567	GSE306567_scRNA25100	Mus musculus	10x h5 (scRNA-25100)	Single-cell RNA sequencing of mouse embryonic stem cells (mESCs) and anterior neural progenitor cells	2454	Train
65	GSE306676	GSE306676_scRNA25100	Mus musculus	10x h5 (scRNA-25100)	Single-cell RNA sequencing of mouse spinal cord nuclei from SOD1-G93A amyotrophic lateral sclerosis (ALS) model	2959	Train
66	GSE307261	GSE307261_scRNA25100	Homo sapiens	10x h5 (scRNA-25100)	Single-cell RNA sequencing of human peripheral blood B cells and T cells from melanoma patients undergoing checkpoint immunotherapy	2921	Train
67	GSE307774	GSE307774_scRNA25100	Mus musculus	10x h5 (scRNA-25100)	Single-cell RNA sequencing of mouse colorectal cancer tumors driven by oncogenic Kras/Braf MAPK signaling	2505	Train
68	GSE308428	GSE308428_scRNA25100	Mus musculus	10x h5 (scRNA-25100)	Single-cell RNA sequencing of mouse hippocampal microglia from an autism spectrum disorder (ASD) model	2991	Train
69	GSE309368	GSE309368_scRNA25100	Homo sapiens	10x h5 (scRNA-25100)	Single-cell RNA sequencing of human myeloid cells from peripheral blood of healthy donors and oral cavity squamous cell carcinoma patients	1361	Train
70	GSE315628	GSE315628_geodh	Mus musculus	GEO-DataHub	Single-cell RNA sequencing dataset from GEO series GSE315628 (Mus musculus)	2895	Train
71	GSE318353	GSE318353_geodh	Homo sapiens	GEO-DataHub	Single-cell RNA sequencing dataset from GEO series GSE318353 (Homo sapiens)	2964	Train
72	GSE98638	GSE98638_TcellLiverHmCancer	Homo sapiens	Local h5ad	Single-cell RNA sequencing of T cells from human hepatocellular carcinoma (liver cancer)	3000	Train
73	GSE120446	bm_GSE120446	Homo sapiens	Local h5ad	Single-cell RNA sequencing of bone marrow during hematopoietic development	2890	Train
74	GSE104323	dentate	Mus musculus	Local h5ad	Single-cell RNA sequencing of the dentate gyrus in the hippocampus during brain development	3000	Train
75	GSE75748	endo	Homo sapiens	Local h5ad	Single-cell RNA sequencing of endoderm differentiation	2531	Train
76	GSE144024	hESC_GSE144024	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human embryonic stem cells (hESCs)	3000	Train
77	GSE72857	hemato	Mus musculus	Local h5ad	Single-cell RNA sequencing of hematopoiesis	3000	Train
78	GSE226824	ifnHSPC_GSE226824	Homo sapiens	Local h5ad	Single-cell RNA sequencing of interferon-treated hematopoietic stem and progenitor cells (HSPCs)	2739	Train
79	GSE141259	lung	Mus musculus	Local h5ad	Single-cell RNA sequencing of lung development	3000	Train
80	GSE139369	setty	Homo sapiens	Local h5ad	Single-cell RNA sequencing of human hematopoiesis from the Setty et al. study	2995	Train
